date_time,data_set,loss_func,rnd_seed_input,rnd_search_iter,rnd_search_iter_no,beta,eta,epochs,patience,early_stop_delay,batch_size,learning_rate,lambda_mod,n_layers,n_units,prob_drop,epoch_stopped_on,loss_mse_train,loss_rmse_train,loss_mae_train,loss_rmsle_train,r2_train,loss_mse_val,loss_rmse_val,loss_mae_val,loss_rmsle_val,r2_val,r2_val_avg,r2_train_2_avg,r2_train_3_avg,date_time_seed,model_checkpoint_name,r2_test,r2_test_avg,loss_mae_test,loss_rmse_test,loss_rmsle_test,weibull_loss,prob_drop_true,mse,rmse,rmsle,weibull_mse,weibull_rmse,weibull_rmsle,weibull_only_mse,weibull_only_rmse,weibull_only_rmsle
2021_04_05_15:22:36,ims,weibull_rmsle,457087,3000,2,2.0,63.89398092270162,2000,50,0,64,0.0001,0.4229980923397206,4,256,0.25,11,0.0578879690040712,0.2391110211610794,0.2004301100969314,0.1653305292129516,0.311805565328957,0.0449658222496509,0.2120514810085296,0.2004301100969314,0.1467815488576889,0.4408173593781137,0.4666495078601822,0.7048536890397531,0.3009580962083843,2021_04_05_15:22:36_457087,2021_04_05_15:22:36_weibull_rmsle_457087.pt,0.7149669991207825,0.7307921968989225,0.1135355532169342,0.15139520168304443,0.11215321719646454,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_15:08:19,ims,weibull_rmsle,3404138,3000,16,2.0,63.89398092270162,2000,50,0,512,0.01,0.2406094174810221,3,64,0.0,3,0.0613171011209487,0.2431052923202514,0.2043182551860809,0.1674516499042511,0.2886214340874047,0.0515290945768356,0.2270002365112304,0.2043182551860809,0.1607092469930648,0.3591983821496032,0.3805962873768931,0.6019008379313897,0.290208694068563,2021_04_05_15:08:19_3404138,2021_04_05_15:08:19_weibull_rmsle_3404138.pt,0.7136181639379793,0.7271030678091204,0.12097973376512527,0.1517529934644699,0.11082576960325241,1,0,0,0,0,0,0,1,0,0,0
2021_04_05_15:03:12,ims,weibull_rmsle,4151484,3000,11,2.0,63.89398092270162,2000,50,0,64,0.0001,1.8471152366086396,4,256,0.4,12,0.0581960764916046,0.2413228750228881,0.2021787762641906,0.1662619113922119,0.2990145831784701,0.0467975586652755,0.2163274586200714,0.2021787762641906,0.150601714849472,0.4180384211766177,0.4470089501834586,0.7142644036657038,0.2863491246089406,2021_04_05_15:03:12_4151484,2021_04_05_15:03:12_weibull_rmsle_4151484.pt,0.7130722642241998,0.7304984804031206,0.11557536572217941,0.15189756453037262,0.11202345043420792,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_15:03:17,ims,rmsle,555660,3000,9,2.0,63.89398092270162,2000,50,0,128,0.001,1.7004456624628108,3,256,0.6,5,0.0583991942734553,0.2381266355514526,0.2003013044595718,0.1640943139791488,0.3174603335525884,0.0471327677369117,0.2171008437871933,0.2003013044595718,0.1524765342473983,0.4138698169944618,0.4368895076019348,0.6737191587432749,0.3074125456891116,2021_04_05_15:03:17_555660,2021_04_05_15:03:17_rmsle_555660.pt,0.7129463403641495,0.7301155218206239,0.11031690239906311,0.15193089842796326,0.11263587325811386,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_15:24:19,ims,weibull_rmsle,208879,3000,8,2.0,63.89398092270162,2000,50,0,64,0.1,2.694098813699045,3,64,0.0,1,0.0700834291784659,0.2549040615558624,0.2119608521461486,0.170861154794693,0.2178941704915699,0.0447994209825992,0.2116587609052658,0.2119608521461486,0.1462827920913696,0.4428867115227637,0.4967203021730724,0.6251750119788788,0.2048970242154455,2021_04_05_15:24:19_208879,2021_04_05_15:24:19_weibull_rmsle_208879.pt,0.7109228955246788,0.7419260629303062,0.12863940000534058,0.15246543288230896,0.10492611676454544,1,0,0,0,0,0,0,1,0,0,0
2021_04_05_14:44:06,ims,rmsle,5198874,3000,8,2.0,63.89398092270162,2000,50,0,64,0.001,2.462395086941901,4,32,0.2,3,0.0606413572054842,0.2418902814388275,0.2032040059566497,0.1660258471965789,0.2957143516531646,0.0558983385562896,0.2364283204078674,0.2032040059566497,0.1662875413894653,0.3048636486462664,0.321460126511068,0.6590345738381322,0.2864792243203586,2021_04_05_14:44:06_5198874,2021_04_05_14:44:06_rmsle_5198874.pt,0.7107552199713221,0.7267784382434033,0.11567357182502747,0.1525096446275711,0.1121528297662735,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_15:31:12,ims,rmsle,510875,3000,9,2.0,63.89398092270162,2000,50,0,512,0.01,1.2098232940270215,5,128,0.4,3,0.060200510919094,0.2442924082279205,0.2044953852891922,0.1666728407144546,0.2816569299691788,0.0512552559375762,0.2263962626457214,0.2044953852891922,0.158680185675621,0.3626036961171295,0.3776397564280792,0.6754421849055006,0.2840866832364168,2021_04_05_15:31:12_510875,2021_04_05_15:31:12_rmsle_510875.pt,0.7102958569937159,0.7327977105370862,0.11294319480657578,0.15263070166110992,0.11191421002149582,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_13:36:15,ims,rmsle,2555506,3000,0,2.0,63.89398092270162,2000,50,0,256,0.001,2.359112548224019,4,256,0.2,4,0.0600909693487759,0.2453899085521698,0.2054380178451538,0.1680303812026977,0.2751879819200852,0.0473732016980648,0.2176538854837417,0.2054380178451538,0.1501989215612411,0.4108798420673465,0.4398602418136258,0.7340563589533994,0.2508141252553563,2021_04_05_13:36:15_2555506,2021_04_05_13:36:15_rmsle_2555506.pt,0.7100233053107972,0.7270133845115229,0.12001968175172806,0.1527024805545807,0.11212160438299179,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_12:37:10,ims,weibull_rmsle,8095234,3000,4,2.0,63.89398092270162,2000,50,0,32,0.01,0.5817415901332512,2,32,0.5,1,0.0654274703666372,0.2436752319335937,0.2050914764404297,0.1658952087163925,0.2852820169764095,0.0447444133460521,0.2115287780761718,0.2050914764404297,0.1491589993238449,0.4435707728569884,0.466472516989647,0.6921408691418489,0.2560717293658647,2021_04_05_12:37:10_8095234,2021_04_05_12:37:10_weibull_rmsle_8095234.pt,0.7099617608071433,0.7256360778101726,0.12243008613586426,0.1527186781167984,0.11060907691717148,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_16:17:37,ims,rmsle,5820477,3000,7,2.0,63.89398092270162,2000,50,0,128,0.001,2.9911891334783403,4,128,0.2,3,0.0591060248171461,0.2388017177581787,0.2001038193702697,0.1650433391332626,0.3135848221362759,0.0489445030689239,0.2212340682744979,0.2001038193702697,0.1541837453842163,0.3913395872310378,0.4099246163990608,0.6984023035812825,0.3039578629704648,2021_04_05_16:17:37_5820477,2021_04_05_16:17:37_rmsle_5820477.pt,0.7098170875941141,0.7255108458519846,0.1180773675441742,0.15275676548480988,0.11274661123752594,0,1,0,0,1,0,0,0,0,0,0
