date_time,data_set,loss_func,rnd_seed_input,rnd_search_iter,rnd_search_iter_no,beta,eta,epochs,patience,early_stop_delay,batch_size,learning_rate,lambda_mod,n_layers,n_units,prob_drop,epoch_stopped_on,loss_mse_train,loss_rmse_train,loss_mae_train,loss_rmsle_train,r2_train,loss_mse_val,loss_rmse_val,loss_mae_val,loss_rmsle_val,r2_val,r2_val_avg,r2_train1_1_avg,r2_train2_1_avg,r2_train3_1_avg,r2_val1_2_avg,r2_val2_2_avg,r2_val3_2_avg,date_time_seed,model_checkpoint_name,r2_test,r2_test_avg,loss_mae_test,loss_rmse_test,loss_rmsle_test,weibull_loss,prob_drop_true,mse,rmse,rmsle,weibull_mse,weibull_rmse,weibull_rmsle,weibull_only_mse,weibull_only_rmse,weibull_only_rmsle
2021_04_07_09:14:46,femto,weibull_only_rmsle,3557350,3000,3,2.0,0.199976726035066,2000,50,0,32,0.01,2.737846644813996,2,128,0.4,86,0.0502569757430165,0.2266443967819214,0.1763920933008194,0.1397642195224762,0.3815461550131409,0.0640552639961242,0.253091424703598,0.1763920933008194,0.1678188741207122,0.2299385366304213,0.4729752000728788,0.4782118149366773,0.429774291718234,0.275416227981009,0.2651684883046736,0.3029293396376078,0.339090551579879,2021_04_07_09:14:46_3557350,2021_04_07_09:14:46_weibull_only_rmsle_3557350.pt,0.543797691050047,0.8186615749935258,0.16151340305805206,0.19480524957180023,0.14340388774871826,1,1,0,0,0,0,0,0,0,0,1
2021_04_07_10:12:29,femto,weibull_only_rmsle,597193,3000,4,2.0,0.199976726035066,2000,50,0,32,0.01,0.6907194048608774,2,64,0.5,113,0.0493738851792207,0.2270060926675796,0.176837146282196,0.140814796090126,0.3795705818872888,0.0649392157793045,0.2548317611217499,0.176837146282196,0.1698336750268936,0.2193117579711704,0.4686604342109008,0.4754671384215554,0.4259816685931595,0.3162843556117308,0.3238200014486602,0.3013145354427332,0.3033425797312226,2021_04_07_10:12:29_597193,2021_04_07_10:12:29_weibull_only_rmsle_597193.pt,0.5424184327147122,0.7999319606067092,0.1619594544172287,0.19509951770305634,0.1453910917043686,1,1,0,0,0,0,0,0,0,0,1
2021_04_06_20:31:59,femto,rmsle,6443752,3000,0,2.0,0.199976726035066,2000,50,0,512,0.001,1.1063547668731155,5,16,0.5,45,0.0261160723037189,0.1602866947650909,0.1164307966828346,0.1083778515458107,0.6906769827486581,0.0655149519443512,0.2559589147567749,0.1164307966828346,0.1703699082136154,0.2123904646456916,0.2894914229260107,0.9382317450839976,0.3416805625181308,0.1687414151306167,0.120723871324925,0.2659023771296473,0.2494670598555131,2021_04_06_20:31:59_6443752,2021_04_06_20:31:59_rmsle_6443752.pt,0.5415158187001314,0.6777221026657924,0.15563258528709412,0.19529184699058533,0.13058243691921234,0,1,0,0,1,0,0,0,0,0,0
2021_04_06_17:25:38,femto,weibull_only_rmsle,849417,3000,2,2.0,0.199976726035066,2000,50,0,64,0.001,0.6505742274425891,5,16,0.0,316,0.0469038714795853,0.2167911529541015,0.1658569872379303,0.1347986608743667,0.4341510751015518,0.0633931756019592,0.2517800331115722,0.1658569872379303,0.167243406176567,0.2378980700495084,0.5463074353646906,0.5395889502089104,0.4983119781730004,0.3233700288878215,0.17493181747567,0.444421214174526,0.3634976008547427,2021_04_06_17:25:38_849417,2021_04_06_17:25:38_weibull_only_rmsle_849417.pt,0.5371405161702334,0.7656715736841823,0.15809522569179535,0.1962214559316635,0.1455826759338379,1,0,0,0,0,0,0,0,0,0,1
2021_04_06_22:38:57,femto,weibull_rmsle,9836832,3000,1,2.0,0.199976726035066,2000,50,0,512,0.0001,2.637821257953428,5,256,0.4,225,0.0350953448149893,0.1859039366245269,0.1373984217643737,0.1189346313476562,0.5839030608233056,0.0627768784761428,0.250553160905838,0.1373984217643737,0.1628212183713913,0.2453070926100092,0.3469429614532417,0.8202790644289484,0.2874174973405415,0.0918610275041376,0.2310054189925037,0.2494421695220076,0.2921305077757461,2021_04_06_22:38:57_9836832,2021_04_06_22:38:57_weibull_rmsle_9836832.pt,0.5334170260791604,0.7493023969271153,0.152645543217659,0.1970091313123703,0.13680635392665863,1,1,0,0,0,0,0,1,0,0,0
2021_04_06_22:10:52,femto,weibull_only_rmsle,1355603,3000,7,2.0,0.199976726035066,2000,50,0,512,0.0001,0.934537196870006,7,128,0.25,307,0.0496278045078118,0.2220658808946609,0.1748349070549011,0.1416361331939697,0.4062808324461621,0.0665275901556015,0.2579294443130493,0.1748349070549011,0.1658569425344467,0.2002166453888462,0.2835497125384039,0.6112841772065103,0.1083479050872537,-0.0005415093498628,0.1076535741027137,0.2656996397785064,0.2325725401014277,2021_04_06_22:10:52_1355603,2021_04_06_22:10:52_weibull_only_rmsle_1355603.pt,0.5322138688292701,0.8233544442420683,0.143022820353508,0.1972629874944687,0.132172629237175,1,1,0,0,0,0,0,0,0,0,1
2021_04_07_09:17:34,femto,weibull_only_rmse,3073860,3000,7,2.0,0.199976726035066,2000,50,0,64,0.01,0.9450696059883404,2,256,0.0,66,0.0453274518702969,0.2306006699800491,0.1841817647218704,0.1429997384548187,0.3597664134721196,0.0597379468381404,0.2444135099649429,0.1841817647218704,0.1615612655878067,0.2818405740281022,0.4592021158750887,0.4504758735801545,0.4387180117644057,0.1422823185263715,0.1806559050922206,0.4004712398583784,0.3898198457025165,2021_04_07_09:17:34_3073860,2021_04_07_09:17:34_weibull_only_rmse_3073860.pt,0.5225784076396218,0.8237906405459676,0.16215714812278748,0.19928422570228577,0.14153993129730225,1,0,0,0,0,0,0,0,0,1,0
2021_04_06_17:54:24,femto,weibull_only_rmsle,5312352,3000,0,2.0,0.199976726035066,2000,50,0,64,0.0001,0.7671983052952289,7,64,0.1,232,0.0506455590666243,0.2263479977846145,0.1744848489761352,0.141488492488861,0.3831625740264573,0.0651956871151924,0.2553344666957855,0.1744848489761352,0.1653917729854583,0.2162285298991443,0.3466681059015811,0.5744735144068698,0.2493298907406733,-0.1548305182658793,-0.0271084285598925,0.3143869707618576,0.3504393620879492,2021_04_06_17:54:24_5312352,2021_04_06_17:54:24_weibull_only_rmsle_5312352.pt,0.5194289344875465,0.7959747323895976,0.1588919311761856,0.199940487742424,0.13878655433654785,1,1,0,0,0,0,0,0,0,0,1
2021_04_06_21:34:43,femto,weibull_only_rmse,3686374,3000,0,2.0,0.199976726035066,2000,50,0,32,0.0001,2.8639579380697624,2,16,0.5,1409,0.0517566867991153,0.2275988608598709,0.1762689054012298,0.1402855515480041,0.37632625820839,0.0652693659067154,0.2554787099361419,0.1762689054012298,0.166856363415718,0.2153428234478671,0.3737817129298786,0.5074384801366527,0.3339731464781068,0.0823760278428658,0.0062480043396528,0.2855086646039052,0.3787975169143279,2021_04_06_21:34:43_3686374,2021_04_06_21:34:43_weibull_only_rmse_3686374.pt,0.5187974897219696,0.8043946945839198,0.16359469294548035,0.2000717967748642,0.14098578691482544,1,1,0,0,0,0,0,0,0,1,0
2021_04_07_09:07:06,femto,weibull_rmsle,2842284,3000,7,2.0,0.199976726035066,2000,50,0,512,0.001,2.273307347018836,7,64,0.0,107,0.030731331763996,0.1729292869567871,0.127466544508934,0.1111194789409637,0.6399569097107716,0.0658493638038635,0.2566113173961639,0.127466544508934,0.1674055159091949,0.2083701543596702,0.3227337065530321,0.8724402940006766,0.3419314082141652,0.1411384579527603,0.1048253580340068,0.2323927416614775,0.2938670528078413,2021_04_07_09:07:06_2842284,2021_04_07_09:07:06_weibull_rmsle_2842284.pt,0.5172674977865112,0.7001210936046449,0.15409570932388306,0.20038960874080658,0.13813333213329315,1,0,0,0,0,0,0,1,0,0,0
2021_04_06_22:55:39,femto,weibull_only_mse,4992449,3000,4,2.0,0.199976726035066,2000,50,0,64,0.1,2.832352389035913,4,32,0.0,4,0.0492472483240293,0.2207275629043579,0.1897357255220413,0.1412617415189743,0.4134156826356702,0.0552525706589221,0.2350586652755737,0.1897357255220413,0.1586182564496994,0.3357630336733161,0.5769985197346101,0.4399767141032072,0.5360175431977803,0.5310309364974439,0.5149005908304756,0.4949329326605951,0.2862059793854181,2021_04_06_22:55:39_4992449,2021_04_06_22:55:39_weibull_only_mse_4992449.pt,0.5157444937813102,0.6942666862041037,0.16125008463859558,0.20070546865463257,0.13622838258743286,1,0,0,0,0,0,0,0,1,0,0
2021_04_06_18:55:00,femto,weibull_only_rmsle,2913727,3000,4,2.0,0.199976726035066,2000,50,0,32,0.0001,0.0095693837096783,6,32,0.25,284,0.0511285714579351,0.2241295576095581,0.1748894453048706,0.1389250755310058,0.3951946466180855,0.0647650212049484,0.2544897198677063,0.1748894453048706,0.1659835577011108,0.2214059294066628,0.3882416832558107,0.5235316155813735,0.3662518987045926,0.0891290008761076,0.0177203555709918,0.2905904679172092,0.3639848324440446,2021_04_06_18:55:00_2913727,2021_04_06_18:55:00_weibull_only_rmsle_2913727.pt,0.5144791802772675,0.8105575113942146,0.1631297618150711,0.20096750557422638,0.14317096769809723,1,1,0,0,0,0,0,0,0,0,1
2021_04_06_20:47:49,femto,weibull_only_rmsle,1954374,3000,3,2.0,0.199976726035066,2000,50,0,64,0.0001,2.327161666304935,4,256,0.4,335,0.0519812177358703,0.2306772172451019,0.1820676922798156,0.1449794322252273,0.3593412738842012,0.0635536685585975,0.2520985305309295,0.1820676922798156,0.1657544076442718,0.2359685970909305,0.3839157583852867,0.5007420180242079,0.3143213526891338,0.0167537563626388,0.0318758646251582,0.3395093723589647,0.3972848940987972,2021_04_06_20:47:49_1954374,2021_04_06_20:47:49_weibull_only_rmsle_1954374.pt,0.5142128285095777,0.76823578984706,0.16440069675445557,0.20102262496948242,0.1419035643339157,1,1,0,0,0,0,0,0,0,0,1
2021_04_06_18:27:45,femto,weibull_rmse,7747110,3000,4,2.0,0.199976726035066,2000,50,0,128,0.0001,0.1875466913768845,7,64,0.1,43,0.0259709028583584,0.1608582288026809,0.117117628455162,0.1053279563784599,0.6884671428396356,0.0651539340615272,0.2552526891231537,0.117117628455162,0.1688653528690338,0.2167304327964144,0.3291839408628352,0.917179973465247,0.4091598214157107,0.2112877800658954,0.1593449976810024,0.2625259318674473,0.2577951261620256,2021_04_06_18:27:45_7747110,2021_04_06_18:27:45_weibull_rmse_7747110.pt,0.510373509192128,0.7035545939488682,0.15726879239082336,0.2018154412508011,0.13826076686382294,1,1,0,0,0,0,1,0,0,0,0
2021_04_07_09:11:22,femto,weibull_only_rmsle,9877769,3000,9,2.0,0.199976726035066,2000,50,0,64,0.01,2.675126348152795,2,64,0.2,251,0.0513809570816881,0.2275669127702713,0.1762470304965973,0.1407693326473236,0.3765013411228119,0.0606904998421669,0.2463544458150863,0.1762470304965973,0.1631874293088913,0.2703891813696742,0.481856902208181,0.5028966365095728,0.3693539593908709,0.116547745617621,0.3026979336602282,0.3711055465600842,0.3432021600535445,2021_04_07_09:11:22_9877769,2021_04_07_09:11:22_weibull_only_rmsle_9877769.pt,0.5061960965676631,0.7756568125543619,0.16622492671012878,0.2026745229959488,0.1434827297925949,1,1,0,0,0,0,0,0,0,0,1
